,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Devindra Hardawar,Jury finds Tesla just '1%' responsible for a Florida teen's crash,"Tesla is receiving minimal blame for a fiery 2018 crash in South Florida, which killed two teenagers and injured another. A jury today found Tesla just one percent responsible for the crash, reports the AP, which means it's only responsible for paying $105,00…",https://www.engadget.com/tesla-jury-trial-crash-miami-210510480.html,https://s.yimg.com/os/creatr-uploaded-images/2020-09/58f2dbb0-fdcf-11ea-87ad-36f873b9d898,2022-07-20T21:05:10Z,"Tesla is receiving minimal blame for a fiery 2018 crash in South Florida, which killed two teenagers and injured another. A jury today found Tesla just one percent responsible for the crash, reports … [+1155 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",Steve Dent,Tesla EVs can now scan the road for potholes and adjust the suspension height,"Tesla has introduced a software update that allows its vehicles to scan for potholes, broken pavement and other defects, Electrek has reported. It can then use that to generate ""rough road map data,"" and trigger the adaptive suspension in supported vehicles t…",https://www.engadget.com/tesla-evs-can-now-scan-the-road-for-potholes-and-adjust-the-suspension-height-113844466.html,https://s.yimg.com/os/creatr-uploaded-images/2022-07/53623bb0-fb8d-11ec-bfc7-31a3198e67c5,2022-07-04T11:38:44Z,"Tesla has introduced a software update that allows its vehicles to scan for potholes, broken pavement and other defects, Electrek has reported. It can then use that to generate ""rough road map data,""… [+1421 chars]"
2,"{'id': 'engadget', 'name': 'Engadget'}",Mat Smith,The Morning After: Tesla’s ‘open’ supercharger network,"When Tesla first launched its network of Supercharger stations, they were just for Teslas. But with increasing rival EVs, demand for charging station access has steadily risen, prompting Tesla to begin opening its existing charger network to third-party EVs.T…",https://www.engadget.com/the-morning-after-teslas-open-supercharger-network-111553788.html,https://s.yimg.com/os/creatr-uploaded-images/2022-02/8c363980-98b1-11ec-b77f-9cc73c2df8d6,2022-07-08T11:15:53Z,"When Tesla first launched its network of Supercharger stations, they were just for Teslas. But with increasing rival EVs, demand for charging station access has steadily risen, prompting Tesla to beg… [+3455 chars]"
3,"{'id': 'engadget', 'name': 'Engadget'}",Steve Dent,Tesla faces new lawsuit over claims of racism and harassment at its Fremont factory,"Tesla is facing another lawsuit by a group of former and current workers at its Fremont factory who allege that it knew about but failed to stop racist slurs, harassment and more, The San Francisco Chronicle reported. The employees were ""subjected to offensiv…",https://www.engadget.com/tesla-faces-new-lawsuit-with-15-employees-alleging-racism-and-harassment-102013993.html,https://s.yimg.com/os/creatr-uploaded-images/2022-05/ae2514a0-e413-11ec-8fbf-ae687906a0c3,2022-07-01T10:20:13Z,"Tesla is facing another lawsuit by a group of former and current workers at its Fremont factory who allege that it knew about but failed to stop racist slurs, harassment and more, The San Francisco C… [+1493 chars]"
4,"{'id': 'engadget', 'name': 'Engadget'}",Andrew Tarantola,Panasonic is building the world's largest EV battery factory in Kansas,"Panasonic announced on Wednesday that it's inked a $4 billion investment deal with the state of Kansas to build and operate the world's largest battery cell production facility. The company has already identified a site near the city of De Soto, at a former a…",https://www.engadget.com/panasonic-building-world-largest-ev-battery-factory-kansas-232007601.html,https://s.yimg.com/os/creatr-uploaded-images/2022-07/97ee8cf0-0300-11ed-9f7b-22b23f86a9c5,2022-07-13T23:20:07Z,Panasonic announced on Wednesday that it's inked a $4 billion investment deal with the state of Kansas to build and operate the world's largest battery cell production facility. The company has alrea… [+1505 chars]
5,"{'id': 'engadget', 'name': 'Engadget'}",Kris Holt,"Toyota runs out of federal EV tax credits, pushing prices higher","Toyota
 is the latest automaker to run out of US federal tax credits and it will join Tesla
 and GM in losing access to the $7,500 subsidy. The company surpassed the qualifying sales threshold for EVs and hybrids in June, as Bloomberg
 reports.The governme…",https://www.engadget.com/toyota-ev-tax-credit-cap-140942384.html,https://s.yimg.com/os/creatr-uploaded-images/2022-04/b7162cb0-ba70-11ec-9dab-de6910399ce4,2022-07-06T14:09:42Z,"Toyota
 is the latest automaker to run out of US federal tax credits and it will join Tesla
 and GM in losing access to the $7,500 subsidy. The company surpassed the qualifying sales threshold for … [+965 chars]"
6,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Twitter sues Elon Musk for attempting to back out of $44 billion buyout deal,Twitter is suing Elon Musk to force the Tesla and SpaceX CEO to complete his $44 billion acquisition of the social media company. The New York Times reports Twitter filed a complaint on Tuesday with the Chancery Court in Delaware alleging the billionaire wron…,https://www.engadget.com/twitter-sues-elon-musk-212213001.html,https://s.yimg.com/os/creatr-uploaded-images/2022-05/6678ee80-cbc5-11ec-9fff-79b98239c400,2022-07-12T21:22:13Z,Twitter is suing Elon Musk to force the Tesla and SpaceX CEO to complete his $44 billion acquisition of the social media company. The New York Times reports Twitter filed a complaint on Tuesday with … [+1313 chars]
7,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Elon Musk asks court to delay Twitter trial start to February 2023,"Elon Musk’s lawyers allege Twitter is pushing for an unreasonably fast trial over allegations the Tesla and SpaceX CEO improperly ended his $44 billion bid
 to buy the social media platform, reports Bloomberg
. “Twitter’s sudden request for warp speed after…",https://www.engadget.com/elon-musk-twitter-complaint-174032542.html,https://s.yimg.com/os/creatr-uploaded-images/2021-05/4117fbb0-b7b0-11eb-8ffd-92759598dadd,2022-07-16T17:40:32Z,"Elon Musks lawyers allege Twitter is pushing for an unreasonably fast trial over allegations the Tesla and SpaceX CEO improperly ended his $44 billion bid
 to buy the social media platform, reports … [+1216 chars]"
8,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,"Polestar’s electric SUV will start at €75,000","Polestar won’t officially debut its next EV until this fall
, but the company has shared initial pricing information. Earlier this week, Polestar CEO Thomas Ingenlath said the Polestar 3 would start at €75,000 and top out at around €110,000, reports Automoti…",https://www.engadget.com/polestar-3-pricing-announced-190840507.html,https://s.yimg.com/os/creatr-uploaded-images/2022-06/cfdc5aa0-e65b-11ec-bffc-d370ce59d3a6,2022-07-17T19:08:40Z,"Polestar wont officially debut its next EV until this fall
, but the company has shared initial pricing information. Earlier this week, Polestar CEO Thomas Ingenlath said the Polestar 3 would start … [+1094 chars]"
9,"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,"Rivian says it's still on track to produce 25,000 vehicles despite production woes","Moreso than most automakers, Rivian has had a tough 2022. At the start of the year, the company, blaming inflation and component shortages, raised the base price of its quad-motor R1T pickup truck by a whopping $12,000. And while it went on to quickly backtra…",https://www.engadget.com/rivian-on-track-to-produce-25000-vehicles-in-2022-233943952.html,https://s.yimg.com/os/creatr-uploaded-images/2021-09/d893bd60-15a9-11ec-af7f-f57e67e783d7,2022-07-06T23:39:43Z,"Moreso than most automakers, Rivian has had a tough 2022. At the start of the year, the company, blaming inflation and component shortages, raised the base price of its quad-motor R1T pickup truck by… [+1744 chars]"
